|    | 0       | 1       | 2       | 3       | 4       | 5       | 6       | 7       | 8       | 9       | 10      | 11      | 12      | 13      | 14      | 15      | 16      | 17      | 18      | 19      | 20      | 21      | 22      | 23      |
|---:|:--------|:--------|:--------|:--------|:--------|:--------|:--------|:--------|:--------|:--------|:--------|:--------|:--------|:--------|:--------|:--------|:--------|:--------|:--------|:--------|:--------|:--------|:--------|:--------|
|  0 | 0       | 12 мин. | 17 мин. | 34 мин. | 25 мин. | 13 мин. | 15 мин. | 21 мин. | 14 мин. | 9 мин.  | 11 мин. | 7 мин.  | 24 мин. | 23 мин. | 29 мин. | 21 мин. | 8 мин.  | 18 мин. | 24 мин. | 25 мин. | 8 мин.  | 7 мин.  | 12 мин. | 19 мин. |
|  1 | 16 мин. | 0       | 24 мин. | 39 мин. | 26 мин. | 24 мин. | 11 мин. | 15 мин. | 20 мин. | 12 мин. | 18 мин. | 15 мин. | 20 мин. | 17 мин. | 30 мин. | 25 мин. | 18 мин. | 10 мин. | 18 мин. | 30 мин. | 15 мин. | 10 мин. | 21 мин. | 14 мин. |
|  2 | 14 мин. | 23 мин. | 0       | 33 мин. | 22 мин. | 12 мин. | 24 мин. | 29 мин. | 17 мин. | 17 мин. | 12 мин. | 15 мин. | 30 мин. | 31 мин. | 33 мин. | 7 мин.  | 12 мин. | 24 мин. | 32 мин. | 19 мин. | 15 мин. | 18 мин. | 15 мин. | 31 мин. |
|  3 | 32 мин. | 38 мин. | 32 мин. | 0       | 50 мин. | 36 мин. | 41 мин. | 38 мин. | 22 мин. | 37 мин. | 39 мин. | 35 мин. | 39 мин. | 37 мин. | 28 мин. | 37 мин. | 30 мин. | 43 мин. | 40 мин. | 24 мин. | 36 мин. | 33 мин. | 27 мин. | 39 мин. |
|  4 | 23 мин. | 23 мин. | 21 мин. | 46 мин. | 0       | 27 мин. | 23 мин. | 29 мин. | 28 мин. | 21 мин. | 15 мин. | 19 мин. | 26 мин. | 27 мин. | 44 мин. | 20 мин. | 24 мин. | 18 мин. | 30 мин. | 32 мин. | 20 мин. | 19 мин. | 28 мин. | 28 мин. |
|  5 | 12 мин. | 23 мин. | 11 мин. | 36 мин. | 28 мин. | 0       | 25 мин. | 30 мин. | 18 мин. | 15 мин. | 12 мин. | 12 мин. | 33 мин. | 33 мин. | 33 мин. | 16 мин. | 10 мин. | 26 мин. | 33 мин. | 20 мин. | 11 мин. | 19 мин. | 12 мин. | 32 мин. |
|  6 | 22 мин. | 10 мин. | 27 мин. | 44 мин. | 28 мин. | 28 мин. | 0       | 5 мин.  | 26 мин. | 15 мин. | 21 мин. | 18 мин. | 9 мин.  | 8 мин.  | 33 мин. | 27 мин. | 22 мин. | 10 мин. | 8 мин.  | 37 мин. | 17 мин. | 15 мин. | 26 мин. | 4 мин.  |
|  7 | 23 мин. | 13 мин. | 31 мин. | 45 мин. | 31 мин. | 33 мин. | 5 мин.  | 0       | 27 мин. | 20 мин. | 26 мин. | 22 мин. | 8 мин.  | 6 мин.  | 31 мин. | 32 мин. | 27 мин. | 15 мин. | 4 мин.  | 37 мин. | 22 мин. | 17 мин. | 27 мин. | 9 мин.  |
|  8 | 11 мин. | 19 мин. | 13 мин. | 25 мин. | 30 мин. | 17 мин. | 20 мин. | 27 мин. | 0       | 17 мин. | 20 мин. | 14 мин. | 29 мин. | 28 мин. | 22 мин. | 18 мин. | 10 мин. | 22 мин. | 30 мин. | 22 мин. | 14 мин. | 12 мин. | 9 мин.  | 29 мин. |
|  9 | 11 мин. | 14 мин. | 16 мин. | 39 мин. | 24 мин. | 16 мин. | 14 мин. | 21 мин. | 19 мин. | 0       | 11 мин. | 6 мин.  | 22 мин. | 22 мин. | 35 мин. | 20 мин. | 10 мин. | 16 мин. | 22 мин. | 29 мин. | 6 мин.  | 10 мин. | 14 мин. | 21 мин. |
| 10 | 10 мин. | 17 мин. | 11 мин. | 40 мин. | 20 мин. | 13 мин. | 18 мин. | 25 мин. | 19 мин. | 9 мин.  | 0       | 6 мин.  | 24 мин. | 24 мин. | 35 мин. | 14 мин. | 11 мин. | 17 мин. | 25 мин. | 24 мин. | 7 мин.  | 12 мин. | 14 мин. | 22 мин. |
| 11 | 10 мин. | 13 мин. | 11 мин. | 39 мин. | 21 мин. | 13 мин. | 14 мин. | 22 мин. | 19 мин. | 9 мин.  | 5 мин.  | 0       | 21 мин. | 21 мин. | 33 мин. | 14 мин. | 12 мин. | 14 мин. | 23 мин. | 24 мин. | 7 мин.  | 9 мин.  | 15 мин. | 19 мин. |
| 12 | 28 мин. | 18 мин. | 32 мин. | 49 мин. | 29 мин. | 34 мин. | 8 мин.  | 7 мин.  | 31 мин. | 23 мин. | 25 мин. | 23 мин. | 0       | 24 мин. | 31 мин. | 32 мин. | 29 мин. | 14 мин. | 8 мин.  | 43 мин. | 25 мин. | 21 мин. | 33 мин. | 6 мин.  |
| 13 | 28 мин. | 17 мин. | 32 мин. | 47 мин. | 29 мин. | 35 мин. | 7 мин.  | 7 мин.  | 29 мин. | 22 мин. | 26 мин. | 23 мин. | 25 мин. | 0       | 30 мин. | 33 мин. | 29 мин. | 14 мин. | 5 мин.  | 42 мин. | 25 мин. | 20 мин. | 30 мин. | 5 мин.  |
| 14 | 28 мин. | 31 мин. | 31 мин. | 38 мин. | 43 мин. | 32 мин. | 32 мин. | 30 мин. | 18 мин. | 32 мин. | 36 мин. | 31 мин. | 31 мин. | 29 мин. | 0       | 35 мин. | 26 мин. | 36 мин. | 31 мин. | 37 мин. | 30 мин. | 29 мин. | 26 мин. | 30 мин. |
| 15 | 18 мин. | 25 мин. | 6 мин.  | 36 мин. | 23 мин. | 16 мин. | 26 мин. | 30 мин. | 20 мин. | 20 мин. | 16 мин. | 18 мин. | 31 мин. | 31 мин. | 36 мин. | 0       | 16 мин. | 26 мин. | 33 мин. | 21 мин. | 18 мин. | 20 мин. | 17 мин. | 29 мин. |
| 16 | 2 мин.  | 14 мин. | 14 мин. | 33 мин. | 24 мин. | 12 мин. | 18 мин. | 23 мин. | 14 мин. | 8 мин.  | 10 мин. | 5 мин.  | 26 мин. | 25 мин. | 29 мин. | 19 мин. | 0       | 20 мин. | 25 мин. | 26 мин. | 8 мин.  | 9 мин.  | 9 мин.  | 24 мин. |
| 17 | 14 мин. | 9 мин.  | 19 мин. | 39 мин. | 21 мин. | 21 мин. | 11 мин. | 17 мин. | 20 мин. | 10 мин. | 13 мин. | 11 мин. | 16 мин. | 16 мин. | 34 мин. | 21 мин. | 17 мин. | 0       | 19 мин. | 32 мин. | 13 мин. | 11 мин. | 20 мин. | 15 мин. |
| 18 | 26 мин. | 16 мин. | 35 мин. | 48 мин. | 33 мин. | 36 мин. | 8 мин.  | 4 мин.  | 30 мин. | 23 мин. | 29 мин. | 26 мин. | 9 мин.  | 6 мин.  | 31 мин. | 35 мин. | 30 мин. | 17 мин. | 0       | 43 мин. | 26 мин. | 20 мин. | 30 мин. | 13 мин. |
| 19 | 21 мин. | 31 мин. | 19 мин. | 23 мин. | 39 мин. | 21 мин. | 34 мин. | 38 мин. | 22 мин. | 26 мин. | 26 мин. | 24 мин. | 41 мин. | 40 мин. | 33 мин. | 21 мин. | 19 мин. | 34 мин. | 40 мин. | 0       | 26 мин. | 25 мин. | 18 мин. | 37 мин. |
| 20 | 8 мин.  | 13 мин. | 13 мин. | 37 мин. | 22 мин. | 14 мин. | 14 мин. | 19 мин. | 17 мин. | 4 мин.  | 7 мин.  | 3 мин.  | 22 мин. | 22 мин. | 31 мин. | 17 мин. | 8 мин.  | 15 мин. | 22 мин. | 26 мин. | 0       | 12 мин. | 12 мин. | 21 мин. |
| 21 | 14 мин. | 8 мин.  | 21 мин. | 35 мин. | 23 мин. | 20 мин. | 13 мин. | 18 мин. | 15 мин. | 13 мин. | 15 мин. | 11 мин. | 21 мин. | 20 мин. | 30 мин. | 22 мин. | 13 мин. | 14 мин. | 20 мин. | 29 мин. | 12 мин. | 0       | 18 мин. | 17 мин. |
| 22 | 8 мин.  | 20 мин. | 14 мин. | 27 мин. | 31 мин. | 11 мин. | 23 мин. | 29 мин. | 9 мин.  | 14 мин. | 16 мин. | 12 мин. | 32 мин. | 31 мин. | 24 мин. | 20 мин. | 7 мин.  | 25 мин. | 31 мин. | 22 мин. | 12 мин. | 14 мин. | 0       | 28 мин. |
| 23 | 26 мин. | 14 мин. | 31 мин. | 47 мин. | 28 мин. | 33 мин. | 4 мин.  | 10 мин. | 28 мин. | 20 мин. | 25 мин. | 22 мин. | 5 мин.  | 4 мин.  | 29 мин. | 32 мин. | 27 мин. | 13 мин. | 14 мин. | 39 мин. | 22 мин. | 17 мин. | 27 мин. | 0       |