0,12,16,34,24,13,17,20,14,9,11,7,24,22,28,20,7,18,23,24,8,7,11,19
16,0,23,39,25,24,11,14,19,12,17,15,19,16,29,24,18,9,17,30,15,10,21,13
13,23,0,33,22,12,24,29,17,17,12,15,29,30,32,6,12,24,32,19,15,19,13,31
32,39,33,0,53,36,42,39,23,37,39,36,39,38,28,37,30,42,40,24,35,33,27,39
23,24,21,45,0,27,23,28,28,21,15,18,26,27,43,20,24,19,30,32,20,18,27,27
11,23,10,35,27,0,24,29,16,14,12,12,31,31,31,16,10,25,31,20,11,19,11,30
22,10,27,43,27,28,0,5,25,14,20,17,8,7,31,26,22,9,8,36,18,15,25,3
23,12,31,45,29,32,5,0,27,19,25,21,7,6,29,31,26,14,4,37,22,17,26,9
10,18,13,27,29,16,22,25,0,16,19,14,28,29,20,17,9,22,29,19,14,12,9,27
10,13,17,39,23,17,14,19,19,0,10,6,23,21,34,20,10,15,23,27,6,10,14,21
10,16,11,39,19,14,19,24,19,9,0,6,23,23,33,14,11,16,26,23,7,12,15,22
10,13,11,38,20,14,15,21,19,9,5,0,21,20,33,14,11,14,23,23,7,9,15,20
27,17,31,48,28,33,8,8,29,21,24,22,0,24,30,32,28,13,8,41,24,21,31,6
27,16,31,49,28,34,7,7,29,20,25,23,25,0,29,33,27,14,5,40,23,19,31,5
27,31,30,37,45,31,32,29,18,31,35,31,30,29,0,34,25,35,31,36,30,28,25,29
18,25,6,36,24,16,25,30,20,20,16,18,31,30,35,0,16,25,32,20,18,20,17,29
2,13,14,33,24,11,16,21,13,7,10,5,25,23,28,19,0,18,24,22,6,9,9,23
15,9,18,39,20,21,10,15,19,10,13,10,14,14,33,20,16,0,18,30,12,10,19,14
27,15,34,48,32,35,8,3,30,21,28,24,9,6,30,34,29,16,0,41,25,20,29,13
20,30,18,23,38,20,33,39,21,25,25,23,40,40,32,21,18,33,41,0,24,24,17,38
8,12,13,36,22,14,13,18,16,4,7,3,21,20,30,17,7,14,20,24,0,12,11,19
13,8,20,34,22,20,12,17,15,12,15,11,20,19,30,22,13,14,20,26,11,0,16,16
8,20,12,26,31,10,23,27,9,14,16,12,31,29,24,17,7,25,30,18,12,14,0,26
24,13,29,46,28,31,3,10,27,17,23,20,5,4,28,29,24,12,14,38,20,18,28,0